Feature,Estimate,Std Error,t-stat,p-Value
SKILLS_VEC_334, 1755.7881,2287.5113,-1.3494, 0.1772
SKILLS_VEC_335,-3086.7193,1985.7508, 0.3153, 0.7525
SKILLS_VEC_336, 626.1908,2040.9719,-1.0048, 0.3150
SKILLS_VEC_337,-2050.7362,2230.2404, 1.3858, 0.1658
SKILLS_VEC_338, 3090.7652,1653.7040, 2.6415, 0.0083
SKILLS_VEC_339, 4368.3040,2158.4903, 0.1699, 0.8651
SKILLS_VEC_340, 366.6564,2249.1379, 1.4399, 0.1499
SKILLS_VEC_341, 3238.5951,1643.0682,-3.6888, 0.0002
SKILLS_VEC_342,-6060.9868,2315.9906, 5.6139, 0.0000
SKILLS_VEC_343, 13001.6740,1948.5808, 2.0217, 0.0432
SKILLS_VEC_344, 3939.3684,2447.8356, 1.1318, 0.2577
SKILLS_VEC_345, 2770.4267,1823.8676,-0.5258, 0.5990
SKILLS_VEC_346,-958.9524,1842.4295, 1.7957, 0.0726
SKILLS_VEC_347, 3308.4380,1701.6864,-0.0871, 0.9306
SKILLS_VEC_348,-148.2533,2679.7659, 19.6550, 0.0000
SKILLS_VEC_349, 52670.6780,1806.5641, 2.6772, 0.0074
SKILLS_VEC_350, 4836.5734,1892.5735,-7.4865, 0.0000
SKILLS_VEC_351,-14168.8228,1830.0550,-3.4847, 0.0005
SKILLS_VEC_352,-6377.1735,2582.4670, 3.4414, 0.0006
SKILLS_VEC_353, 8887.4122,2119.2625, 1.6905, 0.0910
SKILLS_VEC_354, 3582.5192,2092.2843,-3.1749, 0.0015
SKILLS_VEC_355,-6642.7091,3151.2239, 7.3245, 0.0000
SKILLS_VEC_356, 23081.0204,2714.4020,-1.8619, 0.0626
SKILLS_VEC_357,-5054.0166,2304.1116,-3.2439, 0.0012
SKILLS_VEC_358,-7474.3539,2299.5552,-1.4247, 0.1542
SKILLS_VEC_359,-3276.2400,1783.0371,-2.5485, 0.0108
SKILLS_VEC_360,-4544.0573,1939.0002, 0.9976, 0.3185
SKILLS_VEC_361, 1934.3339,2276.2694, 2.7916, 0.0052
SKILLS_VEC_362, 6354.3691,1969.8224, 0.8231, 0.4105
SKILLS_VEC_363, 1621.3213,1798.5781, 0.8574, 0.3912
SKILLS_VEC_364, 1542.1759,2242.7544,-4.0243, 0.0001
SKILLS_VEC_365,-9025.5221,2297.9774, 4.5644, 0.0000
SKILLS_VEC_366, 10488.8141,2080.6524,-1.5363, 0.1245
SKILLS_VEC_367,-3196.5334,1897.1504,-1.8635, 0.0624
SKILLS_VEC_368,-3535.3589,2018.6916, 3.1455, 0.0017
SKILLS_VEC_369, 6349.8646,2185.9185,-0.0408, 0.9674
SKILLS_VEC_370,-89.2168,2217.6444,-1.7936, 0.0729
SKILLS_VEC_371,-3977.4705,3963.4032,-6.2351, 0.0000
SKILLS_VEC_372,-24712.0710,1750.3798, 6.0510, 0.0000
SKILLS_VEC_373, 10591.5267,2469.4918,-0.2914, 0.7707
SKILLS_VEC_374,-719.6716,2237.8078, 0.1405, 0.8882
SKILLS_VEC_375, 314.5156,3337.6888, 2.8329, 0.0046
SKILLS_VEC_376, 9455.3082,1960.2414,-3.9608, 0.0001
SKILLS_VEC_377,-7764.1743,2017.5064,-0.6917, 0.4891
SKILLS_VEC_378,-1395.4805,2625.6824, 4.8579, 0.0000
SKILLS_VEC_379, 12755.3376,1968.4556, 2.0527, 0.0401
SKILLS_VEC_380, 4040.6022,2407.4535,-0.5299, 0.5962
SKILLS_VEC_381,-1275.7598,2374.8907, 4.2208, 0.0000
SKILLS_VEC_382, 10023.9298,2004.6013,-3.2142, 0.0013
SKILLS_VEC_383,-6443.1797,2024.2657, 2.6882, 0.0072
SKILLS_VEC_384, 5441.7321,1865.6949, 2.8704, 0.0041
SKILLS_VEC_385, 5355.2806,1808.5893, 2.0426, 0.0411
SKILLS_VEC_386, 3694.2665,2272.9155, 0.5093, 0.6105
SKILLS_VEC_387, 1157.6632,2161.5479,-0.2487, 0.8036
SKILLS_VEC_388,-537.5572,2061.3814, 3.1473, 0.0016
SKILLS_VEC_389, 6487.8283,2231.4116, 0.8934, 0.3716
SKILLS_VEC_390, 1993.5680,2399.4957, 0.6309, 0.5281
SKILLS_VEC_391, 1513.8972,1961.2722,-1.0338, 0.3012
SKILLS_VEC_392,-2027.5739,2275.9509, 0.4254, 0.6705
SKILLS_VEC_393, 968.2551,1997.7239,-3.3569, 0.0008
SKILLS_VEC_394,-6706.0856,1951.9458,-2.0536, 0.0400
SKILLS_VEC_395,-4008.4213,2217.3314, 1.4807, 0.1387
SKILLS_VEC_396, 3283.1558,2080.6419, 8.8912, 0.0000
SKILLS_VEC_397, 18499.3862,2196.6144, 2.3684, 0.0179
SKILLS_VEC_398, 5202.3774,2134.3900, 0.9883, 0.3230
SKILLS_VEC_399, 2109.5052,3487.9130, 1.1481, 0.2509
SKILLS_VEC_400, 4004.3856,4881.1956,-2.4038, 0.0162
SKILLS_VEC_401,-11733.5265,2000.6487, 3.8399, 0.0001
SKILLS_VEC_402, 7682.2594,2038.3657, 1.5468, 0.1219
SKILLS_VEC_403, 3152.8780,2608.5525, 5.9849, 0.0000
SKILLS_VEC_404, 15611.8974,2535.2437,-2.4350, 0.0149
SKILLS_VEC_405,-6173.3538,1663.2509,-33.1119, 0.0000
SKILLS_VEC_406,-55073.3166,1992.7909,-0.0582, 0.9536
SKILLS_VEC_407,-115.9649,2434.4096,-1.2146, 0.2245
SKILLS_VEC_408,-2956.8068,1779.5717,-1.2567, 0.2089
SKILLS_VEC_409,-2236.4455,2159.6989,-0.5150, 0.6065
SKILLS_VEC_410,-1112.3510,2020.9340, 3.7256, 0.0002
SKILLS_VEC_411, 7529.2731,2134.5371,-1.8962, 0.0579
SKILLS_VEC_412,-4047.4813,2098.8207, 0.5833, 0.5597
SKILLS_VEC_413, 1224.1437,2370.3749, 0.1015, 0.9192
SKILLS_VEC_414, 240.5249,1978.9647, 4.6092, 0.0000
SKILLS_VEC_415, 9121.4485,2336.4578,-1.6464, 0.0997
SKILLS_VEC_416,-3846.8523,2133.4426,-0.8605, 0.3895
SKILLS_VEC_417,-1835.7604,2495.1648,-7.9358, 0.0000
SKILLS_VEC_418,-19801.0404,2161.4093, 0.4021, 0.6876
SKILLS_VEC_419, 869.0354,2109.8210, 3.9310, 0.0001
SKILLS_VEC_420, 8293.6793,1797.0616,-0.3596, 0.7191
SKILLS_VEC_421,-646.2946,2015.6645,-1.6853, 0.0919
SKILLS_VEC_422,-3397.0292,1865.2002, 1.1910, 0.2336
SKILLS_VEC_423, 2221.5278,2379.3077, 0.4349, 0.6636
SKILLS_VEC_424, 1034.7569,2377.7543, 5.7352, 0.0000
SKILLS_VEC_425, 13636.9782,1886.1554, 1.0238, 0.3059
SKILLS_VEC_426, 1931.0382,2184.6342,-4.2381, 0.0000
SKILLS_VEC_427,-9258.8070,2409.1680,-1.0766, 0.2817
SKILLS_VEC_428,-2593.7231,2268.0461, 0.1339, 0.8935
SKILLS_VEC_429, 303.6818,2099.7849,-1.1202, 0.2626
SKILLS_VEC_430,-2352.2004,2077.6960,-0.6857, 0.4929
SKILLS_VEC_431,-1424.6366,1921.8947, 0.2510, 0.8018
SKILLS_VEC_432, 482.4397,2503.1031, 0.7001, 0.4838
SKILLS_VEC_433, 1752.5458,2108.7467, 5.3070, 0.0000
SKILLS_VEC_434, 11191.1429,2651.3321, 0.2820, 0.7779
SKILLS_VEC_435, 747.6763,2039.3820,-1.5518, 0.1207
SKILLS_VEC_436,-3164.7245,2970.0069, 3.0663, 0.0022
SKILLS_VEC_437, 9106.8828,2069.3276, 1.1350, 0.2564
SKILLS_VEC_438, 2348.6227,3561.3664,-3.4702, 0.0005
SKILLS_VEC_439,-12358.8166,1826.9107,-2.4396, 0.0147
SKILLS_VEC_440,-4456.9824,3485.2230, 2.9976, 0.0027
SKILLS_VEC_441, 10447.2874,3733.5961, 1.1077, 0.2680
SKILLS_VEC_442, 4135.7777,2644.9366,-1.7293, 0.0838
SKILLS_VEC_443,-4573.9039,1961.3759,-1.7725, 0.0763
SKILLS_VEC_444,-3476.5381,4275.5643, 0.9834, 0.3254
SKILLS_VEC_445, 4204.3973,2029.7795, 2.7040, 0.0069
SKILLS_VEC_446, 5488.4635,2291.2010,-0.0109, 0.9913
SKILLS_VEC_447,-24.9161,2326.7282,-4.2304, 0.0000
SKILLS_VEC_448,-9842.9601,2529.5218,-2.3130, 0.0207
SKILLS_VEC_449,-5850.8698,2254.1147, 0.4381, 0.6613
SKILLS_VEC_450, 987.6340,3860.6931, 1.5669, 0.1172
SKILLS_VEC_451, 6049.1379,2228.0523,-1.2418, 0.2143
SKILLS_VEC_452,-2766.8249,1965.9778, 6.4297, 0.0000
SKILLS_VEC_453, 12640.6744,1968.2613,-0.1992, 0.8421
SKILLS_VEC_454,-392.0396,2964.1756, 0.4919, 0.6228
SKILLS_VEC_455, 1458.0560,2248.5726, 2.0481, 0.0406
SKILLS_VEC_456, 4605.3293,2210.3281, 2.8211, 0.0048
SKILLS_VEC_457, 6235.6126,2248.8067,-2.8832, 0.0039
SKILLS_VEC_458,-6483.7084,2295.4856, 4.5180, 0.0000
SKILLS_VEC_459, 10370.9769,2481.8218, 2.0759, 0.0379
SKILLS_VEC_460, 5152.0204,1904.2203, 5.4425, 0.0000
SKILLS_VEC_461, 10363.7445,1945.7537, 0.5506, 0.5819
SKILLS_VEC_462, 1071.3727,2131.8283, 0.7499, 0.4533
SKILLS_VEC_463, 1598.7115,2474.8078,-1.5716, 0.1161
SKILLS_VEC_464,-3889.3759,2111.9878, 1.3165, 0.1880
SKILLS_VEC_465, 2780.3886,2084.6633,-2.6127, 0.0090
SKILLS_VEC_466,-5446.5056,2585.1980, 4.3576, 0.0000
SKILLS_VEC_467, 11265.2955,2896.1591,-1.2627, 0.2067
SKILLS_VEC_468,-3656.9715,4711.2243,-2.1769, 0.0295
SKILLS_VEC_469,-10255.8831,2149.9460,-0.9937, 0.3204
SKILLS_VEC_470,-2136.3767,2007.1962, 5.2513, 0.0000
SKILLS_VEC_471, 10540.4225,2294.0360,-3.4812, 0.0005
SKILLS_VEC_472,-7985.9381,2146.7161, 1.4336, 0.1517
SKILLS_VEC_473, 3077.4293,2062.7506, 0.3618, 0.7175
SKILLS_VEC_474, 746.2825,2943.6717, 1.0620, 0.2882
SKILLS_VEC_475, 3126.2811,2309.8270, 2.5632, 0.0104
SKILLS_VEC_476, 5920.4363,2455.3099,-1.2170, 0.2236
SKILLS_VEC_477,-2988.1887,2216.2750,-0.1421, 0.8870
SKILLS_VEC_478,-314.9150,2899.4763,-4.9048, 0.0000
SKILLS_VEC_479,-14221.3308,3328.9946,-2.5576, 0.0105
SKILLS_VEC_480,-8514.3804,3006.5572,-0.9507, 0.3418
SKILLS_VEC_481,-2858.2154,2336.2920, 0.5267, 0.5984
SKILLS_VEC_482, 1230.6325,2930.7229, 0.2448, 0.8066
SKILLS_VEC_483, 717.4584,2619.4914, 4.3109, 0.0000
SKILLS_VEC_484, 11292.3332,2204.4809, 1.2995, 0.1938
SKILLS_VEC_485, 2864.7486,2308.1834, 2.8375, 0.0046
SKILLS_VEC_486, 6549.4528,2325.0825, 2.5520, 0.0107
SKILLS_VEC_487, 5933.5534,2752.3986, 4.3338, 0.0000
SKILLS_VEC_488, 11928.2835,1974.1847, 1.1684, 0.2427
SKILLS_VEC_489, 2306.5464,2042.7357, 6.7748, 0.0000
SKILLS_VEC_490, 13839.1213,2846.6623,-0.3539, 0.7234
SKILLS_VEC_491,-1007.5301,2194.0989, 2.9219, 0.0035
SKILLS_VEC_492, 6410.9626,3303.1619, 0.0201, 0.9840
SKILLS_VEC_493, 66.2986,3049.3177, 0.6599, 0.5093
SKILLS_VEC_494, 2012.3574,3898.7688,-5.8037, 0.0000
SKILLS_VEC_495,-22627.1020,2108.3727,-1.1325, 0.2574
SKILLS_VEC_496,-2387.7444,2273.8345, 1.9410, 0.0523
SKILLS_VEC_497, 4413.4754,2057.8851,-0.5489, 0.5830
SKILLS_VEC_498,-1129.6592,3086.7606, 3.5799, 0.0003
SKILLS_VEC_499, 11050.1527,2033.4646,-1.9045, 0.0569
SKILLS_VEC_500,-3872.8064,2125.3281,-1.1948, 0.2322
SKILLS_VEC_501,-2539.3959,2705.4009,-3.2959, 0.0010
SKILLS_VEC_502,-8916.7183,2247.4501, 1.6214, 0.1049
SKILLS_VEC_503, 3644.0237,5675.9973,-1.7620, 0.0781
SKILLS_VEC_504,-10001.2113,2938.1922, 2.0789, 0.0376
SKILLS_VEC_505, 6108.1996,2252.2342, 2.2444, 0.0248
SKILLS_VEC_506, 5054.8292,2460.1869, 1.0913, 0.2751
SKILLS_VEC_507, 2684.8319,2884.7506,-3.8847, 0.0001
SKILLS_VEC_508,-11206.4467,2350.7044, 0.2820, 0.7779
SKILLS_VEC_509, 663.0103,2314.1565, 0.3818, 0.7026
SKILLS_VEC_510, 883.5237,2243.2117,-0.8653, 0.3869
SKILLS_VEC_511,-1940.9530,2294.4401, 1.4003, 0.1614
SKILLS_VEC_512, 3212.8666,2241.1237, 0.7530, 0.4515
SKILLS_VEC_513, 1687.4771,2086.9113, 3.0510, 0.0023
SKILLS_VEC_514, 6367.0642,2442.8121, 5.2346, 0.0000
SKILLS_VEC_515, 12787.2297,2391.3469, 0.8889, 0.3741
SKILLS_VEC_516, 2125.5641,2612.6286,-1.8559, 0.0635
SKILLS_VEC_517,-4848.8363,2124.8251, 1.7612, 0.0782
SKILLS_VEC_518, 3742.2794,2007.3950, 0.6262, 0.5312
SKILLS_VEC_519, 1257.0200,6825.4001, 0.8625, 0.3884
SKILLS_VEC_520, 5887.0150,2575.2715, 0.2655, 0.7907
SKILLS_VEC_521, 683.6179,2956.3148, 1.2084, 0.2269
SKILLS_VEC_522, 3572.3524,3651.6422,-1.8122, 0.0700
SKILLS_VEC_523,-6617.3427,2247.6521, 0.4073, 0.6838
SKILLS_VEC_524, 915.3846,2157.0223,-1.9220, 0.0546
SKILLS_VEC_525,-4145.8980,2032.5902,-3.5556, 0.0004
SKILLS_VEC_526,-7227.1502,2753.7239, 3.3744, 0.0007
SKILLS_VEC_527, 9292.2599,2874.0232, 1.1865, 0.2354
SKILLS_VEC_528, 3410.0056,3102.9852, 2.8220, 0.0048
SKILLS_VEC_529, 8756.5713,3222.2501, 0.8709, 0.3838
SKILLS_VEC_530, 2806.2031,2394.3714,-2.9483, 0.0032
SKILLS_VEC_531,-7059.4259,2320.4817, 1.8729, 0.0611
SKILLS_VEC_532, 4346.1208,2207.0821,-1.0651, 0.2868
SKILLS_VEC_533,-2350.7448,2464.5400, 2.0194, 0.0435
SKILLS_VEC_534, 4976.8118,2129.0534,-1.1006, 0.2711
SKILLS_VEC_535,-2343.1640,2244.2499, 0.5721, 0.5672
SKILLS_VEC_536, 1284.0201,2703.6166,-1.7567, 0.0790
SKILLS_VEC_537,-4749.5597,2259.4030,-2.1202, 0.0340
SKILLS_VEC_538,-4790.4917,2237.8575, 2.4104, 0.0159
SKILLS_VEC_539, 5394.0812,2621.4682,-1.7899, 0.0735
SKILLS_VEC_540,-4692.0413,2494.2045, 2.2840, 0.0224
SKILLS_VEC_541, 5696.8354,2038.1199, 0.3495, 0.7267
SKILLS_VEC_542, 712.3011,2171.3664, 4.4122, 0.0000
SKILLS_VEC_543, 9580.6084,2934.6735, 1.8222, 0.0684
SKILLS_VEC_544, 5347.6839,2376.7615, 1.8794, 0.0602
SKILLS_VEC_545, 4466.7947,3291.9384,-4.3945, 0.0000
SKILLS_VEC_546,-14466.4381,3026.7957, 0.8458, 0.3977
SKILLS_VEC_547, 2559.9629,3160.3176, 0.0676, 0.9461
SKILLS_VEC_548, 213.7679,2108.4090,-2.1086, 0.0350
SKILLS_VEC_549,-4445.8111,2284.1800, 0.2150, 0.8298
SKILLS_VEC_550, 491.1118,2222.7888, 0.6856, 0.4930
SKILLS_VEC_551, 1524.0021,2243.5892,-2.0304, 0.0423
SKILLS_VEC_552,-4555.3246,4255.7106,-1.4335, 0.1517
SKILLS_VEC_553,-6100.6397,2874.3329, 0.9306, 0.3521
SKILLS_VEC_554, 2674.8638,2230.5512, 5.7013, 0.0000
SKILLS_VEC_555, 12716.9774,3284.6510,-1.3124, 0.1894
SKILLS_VEC_556,-4310.8964,2394.2454,-2.9800, 0.0029
SKILLS_VEC_557,-7134.7490,2152.6150, 2.8816, 0.0040
SKILLS_VEC_558, 6202.9549,2443.3345, 0.7376, 0.4608
SKILLS_VEC_559, 1802.2254,2943.3851,-1.0023, 0.3162
SKILLS_VEC_560,-2950.2782,2154.2185, 6.3403, 0.0000
SKILLS_VEC_561, 13658.3247,2195.1573, 2.6715, 0.0076
SKILLS_VEC_562, 5864.3162,2225.4711, 3.5647, 0.0004
SKILLS_VEC_563, 7933.1837,2464.9315, 4.3799, 0.0000
SKILLS_VEC_564, 10796.1350,9797.1238,-0.6482, 0.5168
SKILLS_VEC_565,-6350.6639,2200.8506,-4.4186, 0.0000
SKILLS_VEC_566,-9724.6834,2840.0954,-1.5441, 0.1226
SKILLS_VEC_567,-4385.4391,2417.6171, 3.9981, 0.0001
SKILLS_VEC_568, 9665.9041,3505.0293, 0.5660, 0.5714
SKILLS_VEC_569, 1983.8141,2139.9209,-1.0330, 0.3016
SKILLS_VEC_570,-2210.6222,2340.6227, 2.3337, 0.0196
SKILLS_VEC_571, 5462.2099,2299.5856, 4.8151, 0.0000
SKILLS_VEC_572, 11072.7268,2629.3658, 2.8877, 0.0039
SKILLS_VEC_573, 7592.7966,2903.9794, 1.1866, 0.2354
SKILLS_VEC_574, 3445.9236,2309.3496, 3.2821, 0.0010
SKILLS_VEC_575, 7579.5183,2263.2751,-1.2822, 0.1998
SKILLS_VEC_576,-2901.9590,2956.2876, 3.6103, 0.0003
SKILLS_VEC_577, 10673.0994,4582.4878, 5.1148, 0.0000
SKILLS_VEC_578, 23438.6628,2812.8627, 1.3516, 0.1765
SKILLS_VEC_579, 3801.8744,2647.6327, 3.6557, 0.0003
SKILLS_VEC_580, 9678.8213,2436.2989,-3.1573, 0.0016
SKILLS_VEC_581,-7692.0476,2728.2010,-0.5362, 0.5918
SKILLS_VEC_582,-1462.9898,2727.4568, 3.9013, 0.0001
SKILLS_VEC_583, 10640.6687,2560.2017,-5.6805, 0.0000
SKILLS_VEC_584,-14543.2037,2325.8081, 0.5199, 0.6031
SKILLS_VEC_585, 1209.1517,2207.7773,-2.2860, 0.0223
SKILLS_VEC_586,-5046.9854,2978.0560,-0.5855, 0.5582
SKILLS_VEC_587,-1743.7393,2703.2573, 1.2824, 0.1997
SKILLS_VEC_588, 3466.6523,2506.1643, 3.2620, 0.0011
SKILLS_VEC_589, 8175.1177,5025.0030, 1.1619, 0.2453
SKILLS_VEC_590, 5838.7605,2124.2677,-1.0777, 0.2812
SKILLS_VEC_591,-2289.2727,2396.0647, 0.1836, 0.8543
SKILLS_VEC_592, 439.9850,3340.9457, 3.7126, 0.0002
SKILLS_VEC_593, 12403.6137,2230.9185,-1.7440, 0.0812
SKILLS_VEC_594,-3890.6322,2422.2170, 0.6875, 0.4918
SKILLS_VEC_595, 1665.2298,2159.7986,-1.0540, 0.2919
SKILLS_VEC_596,-2276.4380,3058.5405,-0.4332, 0.6649
SKILLS_VEC_597,-1324.8249,2558.3724,-2.7342, 0.0063
SKILLS_VEC_598,-6995.1976,2424.1507,-4.2788, 0.0000
SKILLS_VEC_599,-10372.5682,2716.8729, 0.3148, 0.7529
SKILLS_VEC_600, 855.2927,3346.5104,-1.8301, 0.0672
SKILLS_VEC_601,-6124.4203,2348.2644,-2.6097, 0.0091
SKILLS_VEC_602,-6128.2134,2235.3930, 1.7665, 0.0773
SKILLS_VEC_603, 3948.8294,3509.5525,-0.1270, 0.8989
SKILLS_VEC_604,-445.7320,2228.3061, 4.5494, 0.0000
SKILLS_VEC_605, 10137.4530,3012.4539,-0.5637, 0.5729
SKILLS_VEC_606,-1698.2257,2585.0944, 3.4992, 0.0005
SKILLS_VEC_607, 9045.6489,2381.0397, 1.9278, 0.0539
SKILLS_VEC_608, 4590.2012,2356.1596,-2.6278, 0.0086
SKILLS_VEC_609,-6191.6316,4365.7353,-1.1351, 0.2563
SKILLS_VEC_610,-4955.5625,2278.6852, 3.5899, 0.0003
SKILLS_VEC_611, 8180.1789,5015.3624, 0.2940, 0.7688
SKILLS_VEC_612, 1474.3015,5311.3945,-2.9314, 0.0034
SKILLS_VEC_613,-15569.6063,4137.5051,-5.4035, 0.0000
SKILLS_VEC_614,-22356.9931,2428.3036, 1.9959, 0.0459
SKILLS_VEC_615, 4846.7709,2587.2553, 1.1673, 0.2431
SKILLS_VEC_616, 3020.1722,2927.8803, 2.0421, 0.0412
SKILLS_VEC_617, 5979.0460,2410.0605, 1.6833, 0.0923
SKILLS_VEC_618, 4056.9106,2604.1038, 3.1006, 0.0019
SKILLS_VEC_619, 8074.1939,2498.8192,-2.8608, 0.0042
SKILLS_VEC_620,-7148.6972,2528.9134, 2.1224, 0.0338
SKILLS_VEC_621, 5367.3593,3238.0506, 0.2249, 0.8221
SKILLS_VEC_622, 728.2235,3241.6121, 1.2842, 0.1991
SKILLS_VEC_623, 4162.9856,2195.0591,-3.4323, 0.0006
SKILLS_VEC_624,-7534.1452,4515.0209, 4.4753, 0.0000
SKILLS_VEC_625, 20206.2069,2161.6161,-6.5145, 0.0000
SKILLS_VEC_626,-14081.9264,3188.6448, 6.9383, 0.0000
SKILLS_VEC_627, 22123.7372,2310.3557, 2.3199, 0.0204
SKILLS_VEC_628, 5359.8924,3126.7890,-2.0551, 0.0399
SKILLS_VEC_629,-6425.7972,2711.3682,-1.9745, 0.0483
SKILLS_VEC_630,-5353.5079,3339.0367,-3.2114, 0.0013
SKILLS_VEC_631,-10723.0420,2328.0504,-0.7341, 0.4629
SKILLS_VEC_632,-1708.9695,4929.2971, 0.8416, 0.4000
SKILLS_VEC_633, 4148.2892,2358.8992, 1.7649, 0.0776
SKILLS_VEC_634, 4163.1374,3535.0573,-2.0743, 0.0381
SKILLS_VEC_635,-7332.6177,3830.1267,-2.0372, 0.0416
SKILLS_VEC_636,-7802.8688,3239.3770, 4.3090, 0.0000
SKILLS_VEC_637, 13958.4220,3107.6927, 4.4149, 0.0000
SKILLS_VEC_638, 13720.1147,3441.4499,-0.4988, 0.6179
SKILLS_VEC_639,-1716.4801,2448.1466,-1.3448, 0.1787
SKILLS_VEC_640,-3292.3433,3019.8354, 0.9380, 0.3482
SKILLS_VEC_641, 2832.6630,2771.9923,-0.1416, 0.8874
SKILLS_VEC_642,-392.5997,2554.2040,-1.4660, 0.1426
SKILLS_VEC_643,-3744.5790,2334.5181, 0.4594, 0.6460
SKILLS_VEC_644, 1072.4556,2353.0137, 0.8984, 0.3690
SKILLS_VEC_645, 2114.0265,2542.9193, 2.1342, 0.0328
SKILLS_VEC_646, 5427.1958,3677.7267, 0.3145, 0.7531
SKILLS_VEC_647, 1156.7181,2774.1437, 0.1962, 0.8445
SKILLS_VEC_648, 544.2699,2583.7239, 0.7943, 0.4270
SKILLS_VEC_649, 2052.2982,3117.3872,-1.4691, 0.1418
SKILLS_VEC_650,-4579.6055,2796.3421, 2.4693, 0.0135
SKILLS_VEC_651, 6904.9715,3627.0604, 1.9052, 0.0568
SKILLS_VEC_652, 6910.4037,2233.7058, 1.7271, 0.0842
SKILLS_VEC_653, 3857.7286,2609.0508,-0.6109, 0.5413
SKILLS_VEC_654,-1593.8089,2320.3270,-0.4547, 0.6494
SKILLS_VEC_655,-1054.9801,2794.4825,-2.7964, 0.0052
SKILLS_VEC_656,-7814.4980,2480.1966,-0.3194, 0.7494
SKILLS_VEC_657,-792.1085,2811.4113,-1.5056, 0.1322
SKILLS_VEC_658,-4232.9879,2628.8953, 1.7343, 0.0829
SKILLS_VEC_659, 4559.4112,2456.0460,-0.9985, 0.3180
SKILLS_VEC_660,-2452.4371,3095.6673,-2.1203, 0.0340
SKILLS_VEC_661,-6563.6139,2469.7805,-2.0146, 0.0440
SKILLS_VEC_662,-4975.6992,5100.4011, 6.5962, 0.0000
SKILLS_VEC_663, 33643.3090,2558.2546, 1.5921, 0.1114
SKILLS_VEC_664, 4073.0704,2344.6628, 0.6522, 0.5142
SKILLS_VEC_665, 1529.3059,3202.9532, 3.3871, 0.0007
SKILLS_VEC_666, 10848.6301,3187.4992,-0.4262, 0.6700
