Feature,Estimate,Std Error,t-stat,p-Value
SKILLS_VEC_667,-1358.3723,2504.3762,-2.7438, 0.0061
SKILLS_VEC_668,-6871.4449,2873.6569, 2.7928, 0.0052
SKILLS_VEC_669, 8025.4798,2336.5103,-9.0177, 0.0000
SKILLS_VEC_670,-21069.8403,2725.8368,-0.0260, 0.9793
SKILLS_VEC_671,-70.8231,2987.7351, 1.6795, 0.0931
SKILLS_VEC_672, 5017.8873,2521.0533, 2.1558, 0.0311
SKILLS_VEC_673, 5434.8458,3631.3804,-3.3060, 0.0009
SKILLS_VEC_674,-12005.1864,3077.2519,-0.6883, 0.4913
SKILLS_VEC_675,-2118.0785,2441.1744,-3.7619, 0.0002
SKILLS_VEC_676,-9183.5424,2854.8207, 6.5873, 0.0000
SKILLS_VEC_677, 18805.4616,2333.2362, 3.2022, 0.0014
SKILLS_VEC_678, 7471.5957,4636.7331, 0.2530, 0.8003
SKILLS_VEC_679, 1173.2055,2861.3485, 5.4602, 0.0000
SKILLS_VEC_680, 15623.4279,3521.9449,-1.3309, 0.1832
SKILLS_VEC_681,-4687.3036,3090.3012, 2.2604, 0.0238
SKILLS_VEC_682, 6985.4560,3136.2910,-2.9153, 0.0036
SKILLS_VEC_683,-9143.3432,2476.8328, 3.9433, 0.0001
SKILLS_VEC_684, 9766.9511,3142.4907, 1.5260, 0.1270
SKILLS_VEC_685, 4795.3510,3493.8186, 3.5262, 0.0004
SKILLS_VEC_686, 12319.9911,3366.5344,-4.2041, 0.0000
SKILLS_VEC_687,-14153.1386,2810.1284,-3.7458, 0.0002
SKILLS_VEC_688,-10526.2130,5372.9950,-0.9831, 0.3255
SKILLS_VEC_689,-5282.4476,2462.1340, 1.2667, 0.2053
SKILLS_VEC_690, 3118.7194,3214.3112,-0.3868, 0.6989
SKILLS_VEC_691,-1243.2908,3498.4793,-0.5997, 0.5487
SKILLS_VEC_692,-2098.0349,2659.4167, 3.2835, 0.0010
SKILLS_VEC_693, 8732.1752,2407.9203, 0.5810, 0.5612
SKILLS_VEC_694, 1399.0167,3638.9425,-4.1750, 0.0000
SKILLS_VEC_695,-15192.6261,2792.6560, 4.2941, 0.0000
SKILLS_VEC_696, 11991.9976,3554.5991,-0.7715, 0.4404
SKILLS_VEC_697,-2742.3482,2936.8783, 0.2500, 0.8026
SKILLS_VEC_698, 734.3368,2895.1441,-2.6097, 0.0091
SKILLS_VEC_699,-7555.4460,5388.8495,-0.8880, 0.3746
SKILLS_VEC_700,-4785.0532,2467.1753, 1.0691, 0.2850
SKILLS_VEC_701, 2637.6190,2302.3606, 1.1141, 0.2652
SKILLS_VEC_702, 2565.0835,3092.6895,-1.9146, 0.0556
SKILLS_VEC_703,-5921.1125,2635.9122,-0.4760, 0.6341
SKILLS_VEC_704,-1254.7810,2609.2497,-0.5578, 0.5770
SKILLS_VEC_705,-1455.5398,3223.5173, 1.9769, 0.0481
SKILLS_VEC_706, 6372.7104,2557.2283, 2.2530, 0.0243
SKILLS_VEC_707, 5761.3507,3672.2523, 1.1465, 0.2516
SKILLS_VEC_708, 4210.1575,2492.9825, 1.9341, 0.0531
SKILLS_VEC_709, 4821.7369,3004.8602,-3.4635, 0.0005
SKILLS_VEC_710,-10407.2755,3635.8186, 2.2018, 0.0277
SKILLS_VEC_711, 8005.3842,3104.2475,-0.2278, 0.8198
SKILLS_VEC_712,-707.2835,3642.1083,-1.0920, 0.2748
SKILLS_VEC_713,-3977.2480,2658.5167, 0.1339, 0.8935
SKILLS_VEC_714, 355.8759,3342.3825, 7.4577, 0.0000
SKILLS_VEC_715, 24926.4780,3127.6974,-2.6230, 0.0087
SKILLS_VEC_716,-8204.0893,2457.9798,-1.6696, 0.0950
SKILLS_VEC_717,-4103.8739,3146.8814,-2.3177, 0.0205
SKILLS_VEC_718,-7293.3800,2911.5583,-0.6815, 0.4956
SKILLS_VEC_719,-1984.2229,2483.0557, 0.4871, 0.6262
SKILLS_VEC_720, 1209.5986,3650.1060,-2.4514, 0.0142
SKILLS_VEC_721,-8947.8818,2904.7654, 0.7596, 0.4475
SKILLS_VEC_722, 2206.3978,4027.6070, 1.5198, 0.1286
SKILLS_VEC_723, 6121.0153,2467.1036,-2.4443, 0.0145
SKILLS_VEC_724,-6030.4156,2586.9961,-5.5492, 0.0000
SKILLS_VEC_725,-14355.8014,4107.5433, 0.3323, 0.7396
SKILLS_VEC_726, 1365.0587,3783.0041,-0.1177, 0.9063
SKILLS_VEC_727,-445.3851,3285.8677,-2.9620, 0.0031
SKILLS_VEC_728,-9732.7316,5517.3288,-4.5904, 0.0000
SKILLS_VEC_729,-25326.7657,2538.2204, 1.4970, 0.1344
SKILLS_VEC_730, 3799.7801,2607.8560,-2.3600, 0.0183
SKILLS_VEC_731,-6154.5564,2868.7054, 1.5307, 0.1259
SKILLS_VEC_732, 4391.1834,3727.4714, 3.4503, 0.0006
SKILLS_VEC_733, 12861.0547,3522.0161,-3.3069, 0.0009
SKILLS_VEC_734,-11646.8374,3026.8018, 2.9241, 0.0035
SKILLS_VEC_735, 8850.5619,4402.2303,-0.0605, 0.9518
SKILLS_VEC_736,-266.3319,6075.5583, 4.3369, 0.0000
SKILLS_VEC_737, 26348.9700,6088.1420, 2.8000, 0.0051
SKILLS_VEC_738, 17047.0039,4154.7992, 0.1998, 0.8417
SKILLS_VEC_739, 830.0229,2813.3904, 2.9631, 0.0030
SKILLS_VEC_740, 8336.2513,2898.0688,-2.3694, 0.0178
SKILLS_VEC_741,-6866.6635,3502.7788, 2.5904, 0.0096
SKILLS_VEC_742, 9073.7661,3344.9963, 1.9055, 0.0567
SKILLS_VEC_743, 6373.8522,3449.2411,-2.8405, 0.0045
SKILLS_VEC_744,-9797.5414,2608.9657,-1.9311, 0.0535
SKILLS_VEC_745,-5038.1070,5635.2187, 0.4435, 0.6574
SKILLS_VEC_746, 2499.1693,3101.1113,-1.3484, 0.1775
SKILLS_VEC_747,-4181.6116,2491.8250,-4.2193, 0.0000
SKILLS_VEC_748,-10513.7088,3104.4520, 2.9670, 0.0030
SKILLS_VEC_749, 9210.8764,3314.4613,-0.2634, 0.7923
SKILLS_VEC_750,-872.9486,3138.0231,-1.6517, 0.0986
SKILLS_VEC_751,-5183.2107,3080.8096,-2.9784, 0.0029
SKILLS_VEC_752,-9175.8563,2767.8770,-0.1358, 0.8920
SKILLS_VEC_753,-375.7796,2966.3378, 2.6788, 0.0074
SKILLS_VEC_754, 7946.3528,3248.5238, 0.4501, 0.6526
SKILLS_VEC_755, 1462.2261,4068.7814, 2.8175, 0.0048
SKILLS_VEC_756, 11463.8630,2638.5589, 0.5113, 0.6091
SKILLS_VEC_757, 1349.0908,2808.7870, 2.9131, 0.0036
SKILLS_VEC_758, 8182.2169,3283.9489,-1.8996, 0.0575
SKILLS_VEC_759,-6238.0382,3038.4448, 2.7115, 0.0067
SKILLS_VEC_760, 8238.7488,2588.4712, 0.7918, 0.4285
SKILLS_VEC_761, 2049.6109,2932.5471,-2.7071, 0.0068
SKILLS_VEC_762,-7938.5921,2898.5599, 3.5285, 0.0004
SKILLS_VEC_763, 10227.6671,4209.3617,-2.0953, 0.0362
SKILLS_VEC_764,-8819.8931,3052.6474,-0.6634, 0.5071
SKILLS_VEC_765,-2025.1185,2581.7753,-1.6302, 0.1031
SKILLS_VEC_766,-4208.9350,3247.5304,-1.3065, 0.1914
SKILLS_VEC_767,-4242.9989,2622.8391,-0.4024, 0.6874
SKILLS_VEC_768,-1055.4231,2710.9908,-1.9237, 0.0544
SKILLS_VEC_769,-5215.1365,2901.9505,-1.9451, 0.0518
SKILLS_VEC_770,-5644.5067,2672.4939,-2.2273, 0.0259
SKILLS_VEC_771,-5952.3383,2782.2743, 0.3600, 0.7189
SKILLS_VEC_772, 1001.6150,5881.5513, 1.0525, 0.2926
SKILLS_VEC_773, 6190.5015,3557.0627,-0.9861, 0.3241
SKILLS_VEC_774,-3507.5513,3016.6178, 3.8329, 0.0001
SKILLS_VEC_775, 11562.3270,2569.1875, 0.9318, 0.3514
SKILLS_VEC_776, 2394.0222,3453.4334,-0.3809, 0.7033
SKILLS_VEC_777,-1315.2463,2956.4509, 0.1008, 0.9197
SKILLS_VEC_778, 297.8755,2715.8986, 1.0047, 0.3150
SKILLS_VEC_779, 2728.7605,5497.9207, 2.1092, 0.0349
SKILLS_VEC_780, 11596.1689,2573.8170, 0.5043, 0.6141
SKILLS_VEC_781, 1297.9202,5782.1030,-1.2521, 0.2106
SKILLS_VEC_782,-7239.5061,3353.2057,-2.1241, 0.0337
SKILLS_VEC_783,-7122.5506,3597.7234,-1.3449, 0.1787
SKILLS_VEC_784,-4838.6742,2794.2931,-2.4646, 0.0137
SKILLS_VEC_785,-6886.8697,5656.1824, 3.5067, 0.0005
SKILLS_VEC_786, 19834.5627,2778.5127,-1.5197, 0.1286
SKILLS_VEC_787,-4222.6306,2813.1644, 2.3325, 0.0197
SKILLS_VEC_788, 6561.5932,3036.2663,-1.7240, 0.0847
SKILLS_VEC_789,-5234.6112,3600.0313,-1.6450, 0.1000
SKILLS_VEC_790,-5922.1389,3284.6140, 1.3219, 0.1862
SKILLS_VEC_791, 4341.9724,3466.6972,-1.9592, 0.0501
SKILLS_VEC_792,-6792.0875,2824.7220,-6.0571, 0.0000
SKILLS_VEC_793,-17109.6854,2752.5727, 0.0475, 0.9621
SKILLS_VEC_794, 130.7956,3642.2610, 0.1409, 0.8880
SKILLS_VEC_795, 513.1603,4373.7522,-5.1214, 0.0000
SKILLS_VEC_796,-22399.7214,3307.6637,-1.9582, 0.0502
SKILLS_VEC_797,-6477.0177,3453.6207,-1.6698, 0.0950
SKILLS_VEC_798,-5766.7755,8268.7114, 3.8975, 0.0001
SKILLS_VEC_799, 32226.9066,3735.1135, 7.0240, 0.0000
SKILLS_VEC_800, 26235.3902,6830.1612, 1.5957, 0.1106
SKILLS_VEC_801, 10898.7913,5475.9241,-0.5574, 0.5773
SKILLS_VEC_802,-3052.1734,3112.9724,-0.9031, 0.3665
SKILLS_VEC_803,-2811.2240,2708.8889, 1.0130, 0.3111
SKILLS_VEC_804, 2744.2031,3431.7453,-3.5800, 0.0003
SKILLS_VEC_805,-12285.7942,2773.2022,-0.1174, 0.9065
SKILLS_VEC_806,-325.6897,2720.1507,-1.9420, 0.0521
SKILLS_VEC_807,-5282.6500,3895.7592, 3.5094, 0.0004
SKILLS_VEC_808, 13671.8089,2764.3199,-3.6023, 0.0003
SKILLS_VEC_809,-9958.0311,3740.6526,-5.0185, 0.0000
SKILLS_VEC_810,-18772.2960,2787.5495, 0.2368, 0.8128
SKILLS_VEC_811, 660.0999,3011.3146,-1.3611, 0.1735
SKILLS_VEC_812,-4098.5762,5263.9542, 1.0928, 0.2745
SKILLS_VEC_813, 5752.3499,2675.2512, 6.2707, 0.0000
SKILLS_VEC_814, 16775.8201,3700.0003, 1.5182, 0.1290
SKILLS_VEC_815, 5617.4014,4678.8935,-0.8067, 0.4198
SKILLS_VEC_816,-3774.5753,3576.7253, 1.4776, 0.1395
SKILLS_VEC_817, 5284.9092,2716.3703,-1.0866, 0.2772
SKILLS_VEC_818,-2951.6265,5091.1937,-1.9020, 0.0572
SKILLS_VEC_819,-9683.4845,5715.1644,-1.0892, 0.2761
SKILLS_VEC_820,-6225.2283,2860.8258,-3.7629, 0.0002
SKILLS_VEC_821,-10765.0250,3815.4873, 2.5255, 0.0116
SKILLS_VEC_822, 9635.8482,6839.8260, 4.1051, 0.0000
SKILLS_VEC_823, 28078.4677,2698.0757, 1.2870, 0.1981
SKILLS_VEC_824, 3472.3216,3071.6697, 2.4641, 0.0137
SKILLS_VEC_825, 7568.8746,2772.6216, 0.4055, 0.6851
SKILLS_VEC_826, 1124.3096,3251.1208, 0.2243, 0.8225
SKILLS_VEC_827, 729.1343,2869.3529, 1.7299, 0.0837
SKILLS_VEC_828, 4963.7382,3718.0147, 1.3793, 0.1678
SKILLS_VEC_829, 5128.2548,2946.7845, 1.4816, 0.1385
SKILLS_VEC_830, 4365.9432,2725.7697, 1.1003, 0.2712
SKILLS_VEC_831, 2999.2249,3104.9342, 1.8008, 0.0717
SKILLS_VEC_832, 5591.2817,3160.9585,-0.5246, 0.5999
SKILLS_VEC_833,-1658.0955,2642.2576,-2.2440, 0.0248
SKILLS_VEC_834,-5929.1670,2701.1332, 0.9449, 0.3447
SKILLS_VEC_835, 2552.3902,3371.4329,-1.0514, 0.2931
SKILLS_VEC_836,-3544.5854,3597.6172,-0.1977, 0.8432
SKILLS_VEC_837,-711.4012,3412.5303, 1.9543, 0.0507
SKILLS_VEC_838, 6669.1780,3693.9846,-1.7916, 0.0732
SKILLS_VEC_839,-6617.9741,2711.7489, 2.5995, 0.0093
SKILLS_VEC_840, 7049.2820,3480.8710,-0.5080, 0.6115
SKILLS_VEC_841,-1768.3071,2592.3073,-2.7019, 0.0069
SKILLS_VEC_842,-7004.2148,5012.9905,-7.6442, 0.0000
SKILLS_VEC_843,-38320.2040,2704.6608, 1.1404, 0.2541
SKILLS_VEC_844, 3084.3228,2837.0770,-1.5743, 0.1154
SKILLS_VEC_845,-4466.4889,3639.7986, 6.3466, 0.0000
SKILLS_VEC_846, 23100.2658,3852.6690, 3.5679, 0.0004
SKILLS_VEC_847, 13746.1194,3176.7763, 2.0575, 0.0397
SKILLS_VEC_848, 6536.0740,2705.7104,-3.0501, 0.0023
SKILLS_VEC_849,-8252.5681,2748.8426,-0.2438, 0.8074
SKILLS_VEC_850,-670.0991,2995.6868, 3.1698, 0.0015
SKILLS_VEC_851, 9495.7453,4225.8794, 0.4321, 0.6657
SKILLS_VEC_852, 1825.8314,3723.6390,-1.4801, 0.1389
SKILLS_VEC_853,-5511.3710,3461.1124, 1.1310, 0.2581
SKILLS_VEC_854, 3914.4126,3341.0165, 7.9341, 0.0000
SKILLS_VEC_855, 26508.0061,2665.4725, 0.5717, 0.5675
SKILLS_VEC_856, 1523.8556,3250.5418,-0.7008, 0.4834
SKILLS_VEC_857,-2277.9600,4521.8706,-2.7279, 0.0064
SKILLS_VEC_858,-12335.3366,5588.9602,-1.4630, 0.1435
SKILLS_VEC_859,-8176.6609,3467.0257, 2.0850, 0.0371
SKILLS_VEC_860, 7228.7487,3974.9257, 1.1467, 0.2515
SKILLS_VEC_861, 4558.0910,2687.9980,-0.4005, 0.6888
SKILLS_VEC_862,-1076.4303,3211.1199, 0.3058, 0.7597
SKILLS_VEC_863, 982.0601,2906.8899, 4.0302, 0.0001
SKILLS_VEC_864, 11715.2205,4189.9286,-0.2792, 0.7801
SKILLS_VEC_865,-1169.6494,4236.3726, 1.7586, 0.0787
SKILLS_VEC_866, 7450.2187,2825.3777,-1.1188, 0.2633
SKILLS_VEC_867,-3160.9018,4638.9459,-3.2366, 0.0012
SKILLS_VEC_868,-15014.2492,3414.7231, 2.5283, 0.0115
SKILLS_VEC_869, 8633.3565,3159.8273,-2.8309, 0.0046
SKILLS_VEC_870,-8945.0177,7389.0380,-1.1905, 0.2339
SKILLS_VEC_871,-8796.3060,2983.9512,-2.0815, 0.0374
SKILLS_VEC_872,-6211.0818,3511.9628, 0.5052, 0.6134
SKILLS_VEC_873, 1774.1376,3626.9556, 1.0825, 0.2790
SKILLS_VEC_874, 3926.3586,6528.6709, 3.3209, 0.0009
SKILLS_VEC_875, 21681.2647,2911.0929, 2.5566, 0.0106
SKILLS_VEC_876, 7442.5202,2759.2559, 2.5762, 0.0100
SKILLS_VEC_877, 7108.4293,3492.8367,-1.9711, 0.0487
SKILLS_VEC_878,-6884.8498,3015.4400, 2.9919, 0.0028
SKILLS_VEC_879, 9021.7552,3006.4900,-3.5051, 0.0005
SKILLS_VEC_880,-10537.9912,4818.6580, 1.9420, 0.0521
SKILLS_VEC_881, 9357.8508,2866.4745,-1.2576, 0.2086
SKILLS_VEC_882,-3604.7875,3459.2381, 1.4368, 0.1508
SKILLS_VEC_883, 4970.0663,5517.3738,-0.7105, 0.4774
SKILLS_VEC_884,-3920.0543,3390.3427,-2.0860, 0.0370
SKILLS_VEC_885,-7072.0874,7306.9024,-2.6356, 0.0084
SKILLS_VEC_886,-19258.1557,2993.4127, 3.5051, 0.0005
SKILLS_VEC_887, 10492.0645,2859.3479,-1.7493, 0.0803
SKILLS_VEC_888,-5001.8633,4041.3742, 1.9962, 0.0459
SKILLS_VEC_889, 8067.3260,2827.3088,-0.7460, 0.4557
SKILLS_VEC_890,-2109.2348,3104.4683, 2.6509, 0.0080
SKILLS_VEC_891, 8229.7410,3371.8861, 1.3183, 0.1874
SKILLS_VEC_892, 4445.0998,4428.3491, 1.7177, 0.0859
SKILLS_VEC_893, 7606.6189,4095.8977, 1.9213, 0.0547
SKILLS_VEC_894, 7869.2708,2766.9002,-1.8744, 0.0609
SKILLS_VEC_895,-5186.2182,3617.5290,-0.1494, 0.8813
SKILLS_VEC_896,-540.3098,4932.6440,-1.9816, 0.0475
SKILLS_VEC_897,-9774.2819,2880.7857, 2.7473, 0.0060
SKILLS_VEC_898, 7914.4130,3119.2723, 3.4124, 0.0006
SKILLS_VEC_899, 10644.2801,2888.9320, 4.3433, 0.0000
SKILLS_VEC_900, 12547.6316,3254.1135,-1.0830, 0.2788
SKILLS_VEC_901,-3524.3546,3403.9445,-2.4625, 0.0138
SKILLS_VEC_902,-8382.2113,3214.6804,-2.7907, 0.0053
SKILLS_VEC_903,-8971.1171,3312.3129, 3.0843, 0.0020
SKILLS_VEC_904, 10216.2359,6805.4327,-5.4288, 0.0000
SKILLS_VEC_905,-36945.1405,3373.5675, 2.5778, 0.0099
SKILLS_VEC_906, 8696.5277,3143.8386,-1.7426, 0.0814
SKILLS_VEC_907,-5478.3805,5955.7049,-3.2202, 0.0013
SKILLS_VEC_908,-19178.3278,3351.7042, 5.1148, 0.0000
SKILLS_VEC_909, 17143.4050,12398.5710,-1.0055, 0.3146
SKILLS_VEC_910,-12467.2830,3799.4125,-2.3372, 0.0194
SKILLS_VEC_911,-8880.0317,3548.2367, 1.3303, 0.1834
SKILLS_VEC_912, 4720.2529,6430.5009, 1.4452, 0.1484
SKILLS_VEC_913, 9293.6564,5610.1532, 5.4663, 0.0000
SKILLS_VEC_914, 30666.9250,3569.1187,-1.0949, 0.2736
SKILLS_VEC_915,-3907.9777,3687.3673,-3.9952, 0.0001
SKILLS_VEC_916,-14731.5898,3085.4770, 1.5667, 0.1172
SKILLS_VEC_917, 4834.0654,3450.3375, 0.2883, 0.7731
SKILLS_VEC_918, 994.8152,3544.9471, 2.4824, 0.0131
SKILLS_VEC_919, 8800.0012,3238.3729,-3.0476, 0.0023
SKILLS_VEC_920,-9869.1558,4092.6560, 1.1902, 0.2340
SKILLS_VEC_921, 4871.1086,3615.4452,-2.3200, 0.0203
SKILLS_VEC_922,-8387.8219,2935.5529, 1.4368, 0.1508
SKILLS_VEC_923, 4217.7468,7670.8348, 0.2195, 0.8262
SKILLS_VEC_924, 1683.9112,3596.5819,-2.5363, 0.0112
SKILLS_VEC_925,-9122.0905,3968.7598, 1.3723, 0.1700
SKILLS_VEC_926, 5446.3273,2956.0508,-3.7873, 0.0002
SKILLS_VEC_927,-11195.3148,5701.2506,-2.9022, 0.0037
SKILLS_VEC_928,-16546.2222,4801.4643, 0.1736, 0.8621
SKILLS_VEC_929, 833.7604,3269.7844, 2.1212, 0.0339
SKILLS_VEC_930, 6935.7073,3190.5404, 3.2879, 0.0010
SKILLS_VEC_931, 10490.0880,6087.3029,-2.6935, 0.0071
SKILLS_VEC_932,-16396.4369,3479.1637, 3.4169, 0.0006
SKILLS_VEC_933, 11888.0676,3675.5211,-5.2745, 0.0000
SKILLS_VEC_934,-19386.5686,7164.9817, 2.1010, 0.0356
SKILLS_VEC_935, 15053.9087,2985.6942, 3.6245, 0.0003
SKILLS_VEC_936, 10821.5550,2962.4083, 2.3920, 0.0168
SKILLS_VEC_937, 7086.1391,2936.9866,-1.2511, 0.2109
SKILLS_VEC_938,-3674.3754,3074.0808,-1.2562, 0.2091
SKILLS_VEC_939,-3861.6696,3228.5358, 2.6926, 0.0071
SKILLS_VEC_940, 8693.1398,3343.1654, 2.4485, 0.0144
SKILLS_VEC_941, 8185.6314,3383.7101,-0.6311, 0.5280
SKILLS_VEC_942,-2135.4443,2957.2272, 0.3060, 0.7596
SKILLS_VEC_943, 905.0019,4416.2395,-1.1864, 0.2355
SKILLS_VEC_944,-5239.3274,7357.4090,-3.4983, 0.0005
SKILLS_VEC_945,-25738.5060,8766.7905,-0.5835, 0.5596
SKILLS_VEC_946,-5115.5151,3224.0638,-2.5803, 0.0099
SKILLS_VEC_947,-8319.1416,6293.9216, 3.8043, 0.0001
SKILLS_VEC_948, 23944.2677,3588.3822, 0.0408, 0.9674
SKILLS_VEC_949, 146.5228,6848.1087,-4.0301, 0.0001
SKILLS_VEC_950,-27598.8224,3363.8410, 2.4211, 0.0155
SKILLS_VEC_951, 8144.2814,3226.7938,-0.9308, 0.3520
SKILLS_VEC_952,-3003.5227,4409.1541, 5.9674, 0.0000
SKILLS_VEC_953, 26311.0290,3389.0130, 5.4775, 0.0000
SKILLS_VEC_954, 18563.3685,3036.0653, 0.0366, 0.9708
SKILLS_VEC_955, 110.9703,3007.0351,-2.9592, 0.0031
SKILLS_VEC_956,-8898.5347,8966.0924, 2.3373, 0.0194
SKILLS_VEC_957, 20956.2334,3553.3512, 1.3188, 0.1872
SKILLS_VEC_958, 4686.1725,3586.5730,-1.8620, 0.0626
SKILLS_VEC_959,-6678.2042,3712.1970, 6.5641, 0.0000
SKILLS_VEC_960, 24367.3625,2819.3014, 1.7175, 0.0859
SKILLS_VEC_961, 4842.0961,3400.9810, 0.3519, 0.7249
SKILLS_VEC_962, 1196.9533,4963.4218,-0.1606, 0.8724
SKILLS_VEC_963,-797.2566,3701.8946,-1.7601, 0.0784
SKILLS_VEC_964,-6515.5728,4042.6239,-2.4359, 0.0149
SKILLS_VEC_965,-9847.4041,4072.6034,-6.9155, 0.0000
SKILLS_VEC_966,-28164.0005,3645.8023,-1.2487, 0.2118
SKILLS_VEC_967,-4552.4187,3530.3603,-1.7731, 0.0762
SKILLS_VEC_968,-6259.5358,3201.9684, 1.4768, 0.1397
SKILLS_VEC_969, 4728.6718,3358.1528, 0.6637, 0.5069
SKILLS_VEC_970, 2228.7350,4446.1300,-3.5124, 0.0004
SKILLS_VEC_971,-15616.7353,3385.6248,-0.5588, 0.5763
SKILLS_VEC_972,-1891.9696,4315.8718,-1.4350, 0.1513
SKILLS_VEC_973,-6193.4437,3284.6165,-2.7772, 0.0055
SKILLS_VEC_974,-9122.1597,3220.6674, 1.1753, 0.2399
SKILLS_VEC_975, 3785.1149,3281.9389,-2.6576, 0.0079
SKILLS_VEC_976,-8722.1840,3553.7806, 0.0941, 0.9250
SKILLS_VEC_977, 334.5318,4614.0339,-2.4347, 0.0149
SKILLS_VEC_978,-11233.9533,3273.5333,-1.9710, 0.0487
SKILLS_VEC_979,-6452.1006,3109.7115,-0.1420, 0.8871
SKILLS_VEC_980,-441.6999,3572.5958,-3.4522, 0.0006
SKILLS_VEC_981,-12333.2595,3808.2849, 0.4869, 0.6263
SKILLS_VEC_982, 1854.2197,8018.5962, 0.5230, 0.6010
SKILLS_VEC_983, 4193.6257,3670.5389,-1.5858, 0.1128
SKILLS_VEC_984,-5820.7369,3667.4659, 0.3952, 0.6927
SKILLS_VEC_985, 1449.3463,3560.5525, 2.1866, 0.0288
SKILLS_VEC_986, 7785.6665,5078.2372,-0.1075, 0.9144
SKILLS_VEC_987,-545.8869,3183.0890, 3.5000, 0.0005
SKILLS_VEC_988, 11140.7269,4625.5219, 1.3329, 0.1826
SKILLS_VEC_989, 6165.1788,3818.3086, 1.6103, 0.1073
SKILLS_VEC_990, 6148.5238,4100.6006,-0.3371, 0.7361
SKILLS_VEC_991,-1382.2053,4256.5408,-0.7088, 0.4784
SKILLS_VEC_992,-3017.0699,3050.8881,-0.1725, 0.8631
SKILLS_VEC_993,-526.1262,3199.6070, 0.7625, 0.4458
SKILLS_VEC_994, 2439.7858,3723.5973,-0.9157, 0.3598
SKILLS_VEC_995,-3409.8059,3263.3498, 3.5431, 0.0004
SKILLS_VEC_996, 11562.2535,3635.2658, 1.3656, 0.1721
SKILLS_VEC_997, 4964.1940,3519.0871, 0.0841, 0.9330
SKILLS_VEC_998, 295.8064,5613.6890, 4.0320, 0.0001
SKILLS_VEC_999, 22634.5841,550.0630, 148.1544, 0.0000
